[INFO] 2024-04-17 13:04:23,574 basehttp: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[WARNING] 2024-04-17 13:06:18,845 basehttp: "GET /users HTTP/1.1" 404 2796
[WARNING] 2024-04-17 13:06:19,169 basehttp: "GET /favicon.ico HTTP/1.1" 404 2814
[INFO] 2024-04-17 13:06:21,380 basehttp: "GET /admin/users/user/add/ HTTP/1.1" 200 15990
[INFO] 2024-04-17 13:06:32,681 basehttp: "GET /admin/users HTTP/1.1" 301 0
[ERROR] 2024-04-17 13:06:32,911 basehttp: "GET /admin/users/ HTTP/1.1" 500 87142
[INFO] 2024-04-17 13:06:38,228 basehttp: "GET /admin/users/user/add/ HTTP/1.1" 200 15990
[INFO] 2024-04-17 13:06:39,638 basehttp: "GET /admin/users/user/ HTTP/1.1" 200 18393
[INFO] 2024-04-17 13:06:43,119 basehttp: "GET /admin/users/permissionproxy/ HTTP/1.1" 200 34664
[INFO] 2024-04-17 13:10:19,507 basehttp: "GET /admin/users/user/be2ba3ae-6ba6-4d76-a4cb-2bdb991da012/change/ HTTP/1.1" 200 31049
[INFO] 2024-04-17 13:10:19,867 basehttp: "GET /static/admin/js/SelectBox.js HTTP/1.1" 200 4530
[INFO] 2024-04-17 13:10:19,898 basehttp: "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 200 15492
[INFO] 2024-04-17 13:10:19,972 basehttp: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2024-04-17 13:10:45,592 basehttp: "GET /admin/ HTTP/1.1" 200 15355
[INFO] 2024-04-17 13:11:01,249 basehttp: "GET /admin/workflow/testmodel/ HTTP/1.1" 200 12692
[INFO] 2024-04-17 13:11:01,501 basehttp: "GET /static/modeltranslation/css/tabbed_translation_fields.css HTTP/1.1" 200 4250
[INFO] 2024-04-17 13:11:01,520 basehttp: "GET /static/modeltranslation/js/tabbed_translation_fields.js HTTP/1.1" 200 18984
[INFO] 2024-04-17 13:11:01,541 basehttp: "GET /static/modeltranslation/js/force_jquery.js HTTP/1.1" 200 65
[INFO] 2024-04-17 13:11:01,585 basehttp: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2024-04-17 13:19:53,745 basehttp: "GET /admin/users/user/ HTTP/1.1" 200 18393
[INFO] 2024-04-17 13:19:54,606 basehttp: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2024-04-17 13:19:58,927 basehttp: "GET /admin/workflow/testmodel/ HTTP/1.1" 200 12692
[INFO] 2024-04-17 13:19:59,213 basehttp: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[ERROR] 2024-04-17 13:20:47,286 basehttp: "GET /admin/workflow/ HTTP/1.1" 500 87384
[INFO] 2024-04-17 13:20:49,605 basehttp: "GET /admin/workflow/testmodel/ HTTP/1.1" 200 12692
