[INFO] 2024-04-15 10:21:28,291 autoreload: Watching for file changes with StatReloader
[DEBUG] 2024-04-15 10:21:28,685 autoreload: File /venv/lib/python3.11/site-packages/chardet/langbulgarianmodel.py first seen with mtime 1713121064.4750009
[DEBUG] 2024-04-15 10:21:28,685 autoreload: File /usr/local/lib/python3.11/threading.py first seen with mtime 1712191323.0
[DEBUG] 2024-04-15 10:21:28,685 autoreload: File /usr/local/lib/python3.11/email/charset.py first seen with mtime 1712191323.0
[DEBUG] 2024-04-15 10:21:28,685 autoreload: File /venv/lib/python3.11/site-packages/django/contrib/admindocs/__init__.py first seen with mtime 1713121065.605048
[DEBUG] 2024-04-15 10:21:28,686 autoreload: File /usr/local/lib/python3.11/ast.py first seen with mtime 1712191323.0
[DEBUG] 2024-04-15 10:21:28,686 autoreload: File /venv/lib/python3.11/site-packages/psycopg2/sql.py first seen with mtime 1713121064.915019
[DEBUG] 2024-04-15 10:21:28,686 autoreload: File /usr/local/lib/python3.11/opcode.py first seen with mtime 1712191323.0
[DEBUG] 2024-04-15 10:21:28,687 autoreload: File /venv/lib/python3.11/site-packages/django/template/backends/__init__.py first seen with mtime 1713121066.2050729
[DEBUG] 2024-04-15 10:21:28,687 autoreload: File /venv/lib/python3.11/site-packages/drf_spectacular/drainage.py first seen with mtime 1713121068.1444786
[DEBUG] 2024-04-15 10:21:28,688 autoreload: File /usr/local/lib/python3.11/random.py first seen with mtime 1712191323.0
[DEBUG] 2024-04-15 10:21:28,689 autoreload: File /venv/lib/python3.11/site-packages/django/conf/urls/__init__.py first seen with mtime 1713121065.465042
[DEBUG] 2024-04-15 10:21:28,689 autoreload: File /venv/lib/python3.11/site-packages/django/db/backends/postgresql/base.py first seen with mtime 1713121066.1550708
[DEBUG] 2024-04-15 10:21:28,690 autoreload: File /usr/local/lib/python3.11/urllib/response.py first seen with mtime 1712191323.0
[DEBUG] 2024-04-15 10:21:28,690 autoreload: File /venv/lib/python3.11/site-packages/django/contrib/contenttypes/apps.py first seen with mtime 1713121065.7150524
[DEBUG] 2024-04-15 10:21:28,690 autoreload: File /venv/lib/python3.11/site-packages/django/conf/global_settings.py first seen with mtime 1713121065.365038
[DEBUG] 2024-04-15 10:21:28,691 autoreload: File /venv/lib/python3.11/site-packages/rest_framework/metadata.py first seen with mtime 1713121067.6244764
[DEBUG] 2024-04-15 10:21:28,691 autoreload: File /venv/lib/python3.11/site-packages/charset_normalizer/constant.py first seen with mtime 1713121065.0950267
[DEBUG] 2024-04-15 10:21:28,691 autoreload: File /venv/lib/python3.11/site-packages/uritemplate/api.py first seen with mtime 1713121064.6650088
[DEBUG] 2024-04-15 10:21:28,692 autoreload: File /venv/lib/python3.11/site-packages/httpcore/_sync/http11.py first seen with mtime 1713121065.295035
[DEBUG] 2024-04-15 10:21:28,692 autoreload: File /venv/lib/python3.11/site-packages/httpcore/_async/base.py first seen with mtime 1713121065.295035
[DEBUG] 2024-04-15 10:21:28,692 autoreload: File /venv/lib/python3.11/site-packages/charset_normalizer/models.py first seen with mtime 1713121065.105027
[DEBUG] 2024-04-15 10:21:28,692 autoreload: File /venv/lib/python3.11/site-packages/django/contrib/contenttypes/models.py first seen with mtime 1713121065.7150524
[DEBUG] 2024-04-15 10:21:28,693 autoreload: File /venv/lib/python3.11/site-packages/django/contrib/postgres/__init__.py first seen with mtime 1713121065.9350617
[DEBUG] 2024-04-15 10:21:28,693 autoreload: File /venv/lib/python3.11/site-packages/django/db/backends/postgresql/operations.py first seen with mtime 1713121066.1650712
[DEBUG] 2024-04-15 10:21:28,693 autoreload: File /venv/lib/python3.11/site-packages/django/templatetags/l10n.py first seen with mtime 1713121066.2050729
